v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-0.5000,-1.0000,-30.0000,-10.0000,-0.128323,0.471752
-4.0000,-0.5000,-1.0000,-30.0000,0.0000,-1.255433,0.353031
-4.0000,-0.5000,-1.0000,-30.0000,10.0000,-1.701937,0.290791
-4.0000,-0.5000,-1.0000,-30.0000,20.0000,-2.126389,0.294964
-4.0000,-0.5000,-1.0000,-30.0000,30.0000,-2.805672,0.343761
-4.0000,-0.5000,-1.0000,-20.0000,-30.0000,3.671595,0.687719
-4.0000,-0.5000,-1.0000,-20.0000,-20.0000,2.090162,0.605466
-4.0000,-0.5000,-1.0000,-20.0000,-10.0000,0.585998,0.399296
-4.0000,-0.5000,-1.0000,-20.0000,0.0000,0.014601,0.242426
-4.0000,-0.5000,-1.0000,-20.0000,10.0000,-0.114482,0.210103
-4.0000,-0.5000,-1.0000,-20.0000,20.0000,-0.608488,0.257762
-4.0000,-0.5000,-1.0000,-20.0000,30.0000,-1.548426,0.357121
-4.0000,-0.5000,-1.0000,-10.0000,-30.0000,3.997222,0.805290
-4.0000,-0.5000,-1.0000,-10.0000,-20.0000,2.586027,0.674204
-4.0000,-0.5000,-1.0000,-10.0000,-10.0000,1.095060,0.403152
-4.0000,-0.5000,-1.0000,-10.0000,0.0000,0.586325,0.257538
-4.0000,-0.5000,-1.0000,-10.0000,10.0000,0.407931,0.247859
-4.0000,-0.5000,-1.0000,-10.0000,20.0000,0.097135,0.313786
-4.0000,-0.5000,-1.0000,-10.0000,30.0000,-0.598626,0.414105
-4.0000,-0.5000,-1.0000,0.0000,-30.0000,3.849228,0.839257
-4.0000,-0.5000,-1.0000,0.0000,-20.0000,2.688285,0.667058
-4.0000,-0.5000,-1.0000,0.0000,-10.0000,1.291188,0.446776
-4.0000,-0.5000,-1.0000,0.0000,0.0000,0.842104,0.307599
-4.0000,-0.5000,-1.0000,0.0000,10.0000,0.655265,0.334217
-4.0000,-0.5000,-1.0000,0.0000,20.0000,0.313770,0.449681
-4.0000,-0.5000,-1.0000,0.0000,30.0000,-0.401240,0.552843
-4.0000,-0.5000,-1.0000,10.0000,-30.0000,3.736709,0.763346
-4.0000,-0.5000,-1.0000,10.0000,-20.0000,2.832289,0.616495
